ISIN,Name,Description,Clean Price,Yield (%),YTM (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status,Today,Tenor_Date
USP01012AR71,ELSALV 7.63% 2041-02-01 USD,7.625% NT REDEEM 01/02/2041 USD 150000 - Reg S,91.9,8.573241,8.391452,7.625,Government,2041-02-01,El Salvador,N,USD,2011-02-01T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,15.633
US283875AH54,ELSALV 8.25% 2032-04-10 USD,8.25% NT REDEEM 10/04/2032 USD 10000 - 144A,102.043,7.85424,7.703542,8.25,Government,2032-04-10,El Salvador,N,USD,2002-04-10T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,6.825
XS0146173371,ELSALV 8.25% 2032-04-10 USD,8.25% NT REDEEM 10/04/2032 USD 10000 - Reg S,102.043,7.85424,7.703542,8.25,Government,2032-04-10,El Salvador,N,USD,2002-04-10T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,6.825
US283875AS10,ELSALV 6.38% 2027-01-18 USD,6.375% NT REDEEM 18/01/2027 USD 5000 - 144A,99.16,6.932644,6.808475,6.375,Government,2027-01-18,El Salvador,N,USD,2014-09-18T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,1.597
USP01012AT38,ELSALV 6.38% 2027-01-18 USD,6.375% NT REDEEM 18/01/2027 USD 5000 - Reg S,99.16,6.932644,6.808475,6.375,Government,2027-01-18,El Salvador,N,USD,2014-09-18T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,1.597
USP01012CF16,ELSALV 9.25% 2030-04-17 USD,9.25% NT REDEEM 17/04/2030 USD 150000 - Reg S,106.683,6.976332,6.857114,9.25,Government,2030-04-17,El Salvador,Y,USD,2024-04-17T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,4.844
US283875CE06,ELSALV 9.25% 2030-04-17 USD,9.25% NT REDEEM 17/04/2030 USD 150000 - 144A,106.683,6.976332,6.857114,9.25,Government,2030-04-17,El Salvador,Y,USD,2024-04-17T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,4.844
US283875BW13,ELSALV 8.63% 2029-02-28 USD,8.625% NT REDEEM 28/02/2029 USD 5000 - 144A,104.006,7.365944,7.225875,8.625,Government,2029-02-28,El Salvador,N,USD,2017-02-28T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,3.708
USP01012BX31,ELSALV 8.63% 2029-02-28 USD,8.625% NT REDEEM 28/02/2029 USD 5000 - Reg S,104.006,7.365944,7.225875,8.625,Government,2029-02-28,El Salvador,N,USD,2017-02-28T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,3.708
US283875CD23,ELSALV 0.25% 2030-04-17 USD,FXDVR NT REDEEM 17/04/2030 USD 150000 - 144A,94.302,2.012049,2.001811,0.25,Government,2030-04-17,El Salvador,Y,USD,2024-04-17T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,4.844
US283875BZ44,ELSALV 7.12% 2050-01-20 USD,7.1246% NT REDEEM 20/01/2050 USD 150000 - 144A,83.22,8.801833,8.613235,7.1246,Government,2050-01-20,El Salvador,Y,USD,2019-08-06T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,24.603
USP01012CA29,ELSALV 7.12% 2050-01-20 USD,7.1246% NT REDEEM 20/01/2050 USD 1500000 - Reg S,83.22,8.801833,8.613235,7.1246,Government,2050-01-20,El Salvador,Y,USD,2019-08-06T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,24.603
USP5015VAN66,GUATEM 4.65% 2041-10-07 USD,4.65% NT REDEEM 07/10/2041 USD 200000 - Reg S,78.876,6.813671,6.699796,4.65,Government,2041-10-07,Guatemala,Y,USD,2021-10-07T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,16.317
US401494AU31,GUATEM 4.65% 2041-10-07 USD,4.65% NT REDEEM 07/10/2041 USD 200000 - 144A,78.876,6.813671,6.699796,4.65,Government,2041-10-07,Guatemala,Y,USD,2021-10-07T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,16.317
USP5015VAJ54,GUATEM 6.13% 2050-06-01 USD,6.125% NT REDEEM 01/06/2050 USD 200000 - Reg S,89.909,6.999479,6.87932,6.125,Government,2050-06-01,Guatemala,Y,USD,2019-05-31T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,24.967
US401494AR02,GUATEM 6.13% 2050-06-01 USD,6.125% NT REDEEM 01/06/2050 USD 200000 - 144A,89.909,6.999479,6.87932,6.125,Government,2050-06-01,Guatemala,Y,USD,2019-05-31T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,24.967
USP5015VAM83,GUATEM 3.70% 2033-10-07 USD,3.70% NT REDEEM 07/10/2033 USD 200000 - Reg S,84.272,6.141691,6.048599,3.7,Government,2033-10-07,Guatemala,Y,USD,2021-10-07T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,8.317
US401494AT67,GUATEM 3.70% 2033-10-07 USD,3.70% NT REDEEM 07/10/2033 USD 200000 - 144A,84.272,6.141691,6.048599,3.7,Government,2033-10-07,Guatemala,Y,USD,2021-10-07T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,8.317
USP5015VAS53,GUATEM 6.55% 2037-02-06 USD,6.55% BD REDEEM 06/02/2037 USD 1000,100.526,6.483614,6.37791,6.55,Government,2037-02-06,Guatemala,Y,USD,2024-08-06T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,11.647
US401494AZ28,GUATEM 6.55% 2037-02-06 USD,6.55% BD REDEEM 06/02/2037 USD 1000 - 144A,100.526,6.483614,6.37791,6.55,Government,2037-02-06,Guatemala,Y,USD,2024-08-06T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,11.647
USP5015VAQ97,GUATEM 6.60% 2036-06-13 USD,6.60% BD REDEEM 13/06/2036 USD 1000 - Reg S,101.232,6.424696,6.323775,6.6,Government,2036-06-13,Guatemala,Y,USD,2023-06-13T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,11
US401494AW96,GUATEM 6.60% 2036-06-13 USD,6.60% BD REDEEM 13/06/2036 USD 200000 - 144A,101.232,6.424696,6.323775,6.6,Government,2036-06-13,Guatemala,Y,USD,2023-06-13T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,11
USP5015VAR70,GUATEM 7.05% 2032-10-04 USD,7.05% BD REDEEM 04/10/2032 USD 1000,105.907,6.036653,5.946118,7.05,Government,2032-10-04,Guatemala,NA,USD,2023-10-04T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,7.308
US401494AX79,GUATEM 7.05% 2032-10-04 USD,7.05% BD REDEEM 04/10/2032 USD 200000,105.907,6.036653,5.946118,7.05,Government,2032-10-04,Guatemala,Y,USD,2023-10-04T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,7.308
USP5015VAT37,GUATEM 6.05% 2031-08-06 USD,6.05% BD REDEEM 06/08/2031 USD 1000,100.862,5.879173,5.794213,6.05,Government,2031-08-06,Guatemala,Y,USD,2024-08-06T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,6.147
US401494AY52,GUATEM 6.05% 2031-08-06 USD,6.05% BD REDEEM 06/08/2031 USD - 144A,100.862,5.879173,5.794213,6.05,Government,2031-08-06,Guatemala,Y,USD,2024-08-06T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,6.147
USP5015VAK28,GUATEM 5.38% 2032-04-24 USD,5.375% NT REDEEM 24/04/2032 USD 200000 - Reg S,97.157,5.882809,5.798158,5.375,Government,2032-04-24,Guatemala,Y,USD,2020-04-24T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,6.864
US401494AS84,GUATEM 5.38% 2032-04-24 USD,5.375% NT REDEEM 24/04/2032 USD 200000 - 144A,97.157,5.882809,5.798158,5.375,Government,2032-04-24,Guatemala,Y,USD,2020-04-24T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,6.864
USP5015VAH98,GUATEM 4.90% 2030-06-01 USD,4.90% NT REDEEM 01/06/2030 USD 200000 - Reg S,97.8,5.526844,5.451025,4.9,Government,2030-06-01,Guatemala,Y,USD,2019-05-31T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,4.967
US401494AQ29,GUATEM 4.90% 2030-06-01 USD,4.90% NT REDEEM 01/06/2030 USD 200000 - 144A,97.8,5.526844,5.451025,4.9,Government,2030-06-01,Guatemala,Y,USD,2019-05-31T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,4.967
USP5015VAE67,GUATEM 4.88% 2028-02-13 USD,4.875% NT REDEEM 13/02/2028 USD 200000 - Reg S,98.736,5.386615,5.309845,4.875,Government,2028-02-13,Guatemala,N,USD,2013-02-13T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,2.667
US401494AF63,GUATEM 4.88% 2028-02-13 USD,4.875% NT REDEEM 13/02/2028 USD 200000 - 144A,98.736,5.386615,5.309845,4.875,Government,2028-02-13,Guatemala,N,USD,2013-02-13T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,2.667
USP5015VAP15,GUATEM 5.25% 2029-08-10 USD,5.25% BD REDEEM 10/08/2029 USD 200000 - Reg S,99.058,5.504189,5.42867,5.25,Government,2029-08-10,Guatemala,Y,USD,2022-08-10T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,4.158
US401494AV14,GUATEM 5.25% 2029-08-10 USD,5.25% BD REDEEM 10/08/2029 USD 200000 - 144A,99.058,5.504189,5.42867,5.25,Government,2029-08-10,Guatemala,Y,USD,2022-08-10T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,4.158
USP8056GAB97,GUATEM 8.13% 2034-10-06 USD,8.125% NT REDEEM 06/10/2034 USD 10000 - Reg S,110.655,6.575156,6.469108,8.125,Government,2034-10-06,Guatemala,N,USD,2004-10-06T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,9.314
US401494AD16,GUATEM 8.13% 2034-10-06 USD,8.125% NT REDEEM 06/10/2034 USD 10000 - 144A,110.655,6.575156,6.469108,8.125,Government,2034-10-06,Guatemala,N,USD,2004-10-06T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,9.314
USP5015VAF33,GUATEM 4.50% 2026-05-03 USD,4.50% NT REDEEM 03/05/2026 USD 200000 - Reg S,99.078,5.568329,5.50315,4.5,Government,2026-05-03,Guatemala,N,USD,2016-05-03T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,0.889
US401494AN97,GUATEM 4.50% 2026-05-03 USD,4.50% BD REDEEM 03/05/2026 USD 200000 - 144A,99.078,5.568329,5.50315,4.5,Government,2026-05-03,Guatemala,N,USD,2016-05-03T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,0.889
USP5015VAG16,GUATEM 4.38% 2027-06-05 USD,4.375% NT REDEEM 05/06/2027 USD 200000 - Reg S,98.244,5.320125,5.253194,4.375,Government,2027-06-05,Guatemala,N,USD,2017-06-05T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,1.978
US401494AP46,GUATEM 4.38% 2027-06-05 USD,4.375% NT REDEEM 05/06/2027 USD 200000 - Reg 144A,98.244,5.320125,5.253194,4.375,Government,2027-06-05,Guatemala,N,USD,2017-06-05T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,1.978
US438180AJ03,HONDUR 5.63% 2030-06-24 USD,5.625% NT REDEEM 24/06/2030 USD 150000 - 144A,93.433,7.202844,7.0775690000000004,5.625,Government,2030-06-24,Honduras,Y,USD,2020-06-24T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,5.031
USP5178RAC27,HONDUR 6.25% 2027-01-19 USD,6.25% NT REDEEM 19/01/2027 USD 150000 - Reg S,99.254,6.742914,6.625376,6.25,Government,2027-01-19,Honduras,N,USD,2017-01-19T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,1.6
US438180AH47,HONDUR 6.25% 2027-01-19 USD,6.25% NT REDEEM 19/01/2027 USD 150000 - 144A,99.254,6.742914,6.625376,6.25,Government,2027-01-19,Honduras,N,USD,2017-01-19T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,1.6
USP5178RAD00,HONDUR 5.63% 2030-06-24 USD,5.625% NT REDEEM 24/06/2030 USD 150000 - Reg S,93.433,7.202844,7.0775690000000004,5.625,Government,2030-06-24,Honduras,Y,USD,2020-06-24T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,5.031
USP5178RAC27,HONDUR 6.25% 2027-01-19 USD,6.25% NT REDEEM 19/01/2027 USD 150000 - Reg S,99.254,6.742914,6.625376,6.25,Government,2027-01-19,Honduras,N,USD,2017-01-19T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,1.6
US438180AH47,HONDUR 6.25% 2027-01-19 USD,6.25% NT REDEEM 19/01/2027 USD 150000 - 144A,99.254,6.742914,6.625376,6.25,Government,2027-01-19,Honduras,N,USD,2017-01-19T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,1.6
US698299BL70,PANAMA 3.87% 2060-07-23 USD,3.87% BD REDEEM 23/07/2060 USD 200000,55.047,7.546423,7.407385,3.87,Government,2060-07-23,Panama,Y,USD,2019-07-23T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,35.111
US698299BH68,PANAMA 4.50% 2050-04-16 USD,4.50% BD REDEEM 16/04/2050 USD 200000,65.396,7.688378,7.544354,4.5,Government,2050-04-16,Panama,Y,USD,2018-04-16T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,24.842
US698299BS24,PANAMA 4.50% 2063-01-19 USD,4.50% BD REDEEM 19/01/2063 USD 200000,62.263,7.542553,7.403559,4.5,Government,2063-01-19,Panama,Y,USD,2022-01-19T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,37.6
US698299BM53,PANAMA 4.50% 2056-04-01 USD,4.50% BD REDEEM 01/04/2056 USD 200000,62.89,7.682904,7.538737,4.5,Government,2056-04-01,Panama,Y,USD,2020-04-01T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,30.8
US698299BB98,PANAMA 4.30% 2053-04-29 USD,4.30% BD REDEEM 29/04/2053 USD 200000,62.56,7.583649,7.443792,4.3,Government,2053-04-29,Panama,Y,USD,2013-04-29T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,27.878
US698299BG85,PANAMA 4.50% 2047-05-15 USD,4.50% BD REDEEM 15/05/2047 USD 200000,67.159,7.680094,7.536643,4.5,Government,2047-05-15,Panama,Y,USD,2017-05-15T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,21.922
US698299BV52,PANAMA 6.85% 2054-03-28 USD,6.853% BD REDEEM 28/03/2054 USD 200000,88.843,7.832915,7.684061,6.853,Government,2054-03-28,Panama,Y,USD,2023-03-28T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,28.792
US698299BN37,PANAMA 2.25% 2032-09-29 USD,2.252% BD REDEEM 29/09/2032 USD 200000,74.722,6.685053,6.574241,2.252,Government,2032-09-29,Panama,Y,USD,2020-09-29T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,7.294
US698299BZ66,PANAMA 7.88% 2057-03-01 USD,7.875% BD REDEEM 01/03/2057 USD 200000,99.544,7.911615,7.758996,7.875,Government,2057-03-01,Panama,Y,USD,2024-02-29T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,31.717
US698299BR41,PANAMA 3.30% 2033-01-19 USD,3.298% NT REDEEM 19/01/2033 USD 200000,79.923,6.711924,6.599386,3.298,Government,2033-01-19,Panama,Y,USD,2022-01-19T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,7.6
US698299BY91,PANAMA 8.00% 2038-03-01 USD,8% BD REDEEM 01/03/2038 USD 200000,105.138,7.318112,7.187086,8,Government,2038-03-01,Panama,Y,USD,2024-02-29T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,12.717
US698299AW45,PANAMA 6.70% 2036-01-26 USD,6.70% BD REDEEM 26/01/2036 USD 1000,98.062,6.978825,6.85913,6.7,Government,2036-01-26,Panama,N,USD,2006-01-26T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,10.619
US698299BW36,PANAMA 6.88% 2036-01-31 USD,6.875% BD REDEEM 31/01/2036 USD 200000,98.17,7.121655,6.995116,6.875,Government,2036-01-31,Panama,Y,USD,2023-10-04T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,10.633
US698299BK97,PANAMA 3.16% 2030-01-23 USD,3.16% BD REDEEM 23/01/2030 USD 200000,89.054,5.903731,5.815702,3.16,Government,2030-01-23,Panama,Y,USD,2019-07-23T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,4.611
US698299BT07,PANAMA 6.40% 2035-02-14 USD,6.40% BD REDEEM 14/02/2035 USD 200000,95.774,7.007111,6.884515,6.4,Government,2035-02-14,Panama,Y,USD,2022-11-21T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,9.669
US698299BX19,PANAMA 7.50% 2031-03-01 USD,7.50% BD REDEEM 01/03/2031 USD 200000,105.459,6.343883,6.247646,7.5,Government,2031-03-01,Panama,Y,USD,2024-02-29T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,5.717
US698299AT16,PANAMA 8.13% 2034-04-28 USD,8.125% BD REDCONV 28/04/2034 USD 1000,106.666,7.097978,6.976113,8.125,Government,2034-04-28,Panama,N,USD,2004-01-28T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,8.875
US698299AK07,PANAMA 9.38% 2029-04-01 USD,9.375% BD REDCONV 01/04/2029 USD 1000,112.084,5.784685,5.702238,9.375,Government,2029-04-01,Panama,N,USD,1999-03-31T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,3.8
PAL634445XA3,PANAMA 3.36% 2031-06-30 USD,3.362% BD REDEEM 30/06/2031 USD 1000,81.138,7.270345,7.143545,3.362,Government,2031-06-30,Panama,N,USD,2021-06-30T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,6.047
USP90603AP97,PANAMA 3.36% 2031-06-30 USD,3.362% BD REDEEM 30/06/2031 USD - Reg S,81.14,7.269809,7.143028,3.362,Government,2031-06-30,Panama,N,USD,2021-06-30T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,6.047
US698299BQ67,PANAMA 3.36% 2031-06-30 USD,3.362% BD REDEEM 30/06/2031 USD - 144A,81.14,7.269809,7.143028,3.362,Government,2031-06-30,Panama,N,USD,2021-06-30T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,6.047
PAL634445WA5,PANAMA 3.00% 2029-12-27 USD,3% BD REDEEM 27/12/2029 USD - Ser A,86.617,6.445347,6.343072,3,Government,2029-12-27,Panama,NA,USD,2019-12-27T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,4.539
PAL63444B5A9,PANAMA 6.38% 2033-07-25 USD,6.375% BD REDEEM 25/07/2033 USD 1000,94.275,7.321114,7.191431,6.375,Government,2033-07-25,Panama,N,USD,2023-07-25T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,8.117
PAL63444A5A0,PANAMA 5.20% 2034-07-05 USD,5.20% BD REDEEM 05/07/2034 USD 100000,85.349,7.451294,7.316452,5.2,Government,2034-07-05,Panama,NA,USD,2022-07-05T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,9.061
US698299BF03,PANAMA 3.88% 2028-03-17 USD,3.875% BD REDEEM 17/03/2028 USD 200000,96.336,5.315598,5.248731,3.875,Government,2028-03-17,Panama,Y,USD,2016-03-17T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,2.761
PAL634445VA7,PANAMA 2.85% 2027-06-27 USD,2.85% BD REDEEM 27/06/2027 USD - Ser A,94,6.016112,5.932942,2.85,Government,2027-06-27,Panama,N,USD,2019-12-27T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,2.039
PAL634445TA1,PANAMA 3.75% 2026-04-17 USD,3.75% NT REDEEM 17/04/2026 USD 1000 - Ser A,98.412,5.690115,5.618568,3.75,Government,2026-04-17,Panama,N,USD,2019-04-17T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,0.844
US698299AD63,PANAMA 8.88% 2027-09-30 USD,8.875% BD REDCONV 30/09/2027 USD 1000 - Ser A,108.13,5.078746,5.016142,8.875,Government,2027-09-30,Panama,N,USD,1997-09-26T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,2.297
