ISIN,Name,Description,Clean Price,Yield (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status,Today,Tenor_Date
USP01012AM84,ELSALV 7.63% 2034-09-21 USD,7.625% NT REDEEM 21/09/2034 USD 10000 - Reg S,97.329,8.034269,7.625,Government,2034-09-21,El Salvador,N,USD,2004-09-21T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,9.331
USP01012CF16,ELSALV 9.25% 2030-04-17 USD,9.25% NT REDEEM 17/04/2030 USD 150000 - Reg S,105.22,7.492479,9.25,Government,2030-04-17,El Salvador,Y,USD,2024-04-17T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,4.903
US283875CE06,ELSALV 9.25% 2030-04-17 USD,9.25% NT REDEEM 17/04/2030 USD 150000 - 144A,105.22,7.492479,9.25,Government,2030-04-17,El Salvador,Y,USD,2024-04-17T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,4.903
US283875BW13,ELSALV 8.63% 2029-02-28 USD,8.625% NT REDEEM 28/02/2029 USD 5000 - 144A,103.379,7.575947,8.625,Government,2029-02-28,El Salvador,N,USD,2017-02-28T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,3.767
USP01012BX31,ELSALV 8.63% 2029-02-28 USD,8.625% NT REDEEM 28/02/2029 USD 5000 - Reg S,103.379,7.575947,8.625,Government,2029-02-28,El Salvador,N,USD,2017-02-28T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,3.767
US283875AN23,ELSALV 7.65% 2035-06-15 USD,7.65% NT REDEEM 15/06/2035 USD 10000 - 144A,96.777,8.122687,7.65,Government,2035-06-15,El Salvador,N,USD,2005-06-10T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,10.064
USP01012AN67,ELSALV 7.65% 2035-06-15 USD,7.65% NT REDEEM 15/06/2035 USD 10000 - Reg S,96.777,8.122687,7.65,Government,2035-06-15,El Salvador,N,USD,2005-06-10T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,10.064
US283875AH54,ELSALV 8.25% 2032-04-10 USD,8.25% NT REDEEM 10/04/2032 USD 10000 - 144A,100.837,8.087027,8.25,Government,2032-04-10,El Salvador,N,USD,2002-04-10T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,6.883
XS0146173371,ELSALV 8.25% 2032-04-10 USD,8.25% NT REDEEM 10/04/2032 USD 10000 - Reg S,100.837,8.087027,8.25,Government,2032-04-10,El Salvador,N,USD,2002-04-10T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,6.883
US283875AS10,ELSALV 6.38% 2027-01-18 USD,6.375% NT REDEEM 18/01/2027 USD 5000 - 144A,98.689,7.211934,6.375,Government,2027-01-18,El Salvador,N,USD,2014-09-18T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,1.656
USP01012AT38,ELSALV 6.38% 2027-01-18 USD,6.375% NT REDEEM 18/01/2027 USD 5000 - Reg S,98.689,7.211934,6.375,Government,2027-01-18,El Salvador,N,USD,2014-09-18T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,1.656
US283875BZ44,ELSALV 7.12% 2050-01-20 USD,7.1246% NT REDEEM 20/01/2050 USD 150000 - 144A,82.946,8.831432,7.1246,Government,2050-01-20,El Salvador,Y,USD,2019-08-06T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,24.661
USP01012CA29,ELSALV 7.12% 2050-01-20 USD,7.1246% NT REDEEM 20/01/2050 USD 1500000 - Reg S,82.946,8.831432,7.1246,Government,2050-01-20,El Salvador,Y,USD,2019-08-06T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,24.661
US283875AQ53,ELSALV 7.63% 2041-02-01 USD,7.625% NT REDEEM 01/02/2041 USD 150000 - 144A,92.12,8.543226,7.625,Government,2041-02-01,El Salvador,N,USD,2011-02-01T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,15.692
USP01012AR71,ELSALV 7.63% 2041-02-01 USD,7.625% NT REDEEM 01/02/2041 USD 150000 - Reg S,92.12,8.543226,7.625,Government,2041-02-01,El Salvador,N,USD,2011-02-01T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,15.692
US283875CB66,ELSALV 9.50% 2052-07-15 USD,9.50% NT REDEEM 15/07/2052 USD 150000 - 144A,102.02,9.292495,9.5,Government,2052-07-15,El Salvador,Y,USD,2020-07-15T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,27.147
